ID,Pool,Labeled,Species,Temperature,WetMass,NH4.ug.h,NH4.umol.h,NH4.umol.g.h,SRP.ug.h,SRP.umol.h,N:P,N.um.g.h,P.um.g.h,NP
54,Widowmaker,Luxcor8,L.cornutus,22.5,2.11,33.58589956,2.398981345,1.136957983,9.401997951,0.303584047,7.902198303,1.136957983,0.143878695,7.902198328
55,Widowmaker,Luxcor9,L.cornutus,22.5,1.65,32.46248941,2.318738147,1.405295847,7.092733756,0.229019495,10.12463218,1.405295847,0.138799694,10.12463217
66,NT2.062618,SEMATR1,S.atromaculatus,22.5,1.54,27.30870813,1.950612674,1.266631606,5.900968012,0.190538199,10.23738383,1.266631606,0.123726103,10.23738383
67,NT2.062618,SEMATR2,S.atromaculatus,22.5,2.84,63.97907085,4.569911762,1.60912386,15.89062442,0.513097334,8.906520193,1.60912386,0.180668075,8.906520203
68,NT2.062618,SEMATR3,S.atromaculatus,22.5,1.65,23.0582447,1.647009596,0.998187634,10.44554784,0.337279556,4.883217996,0.998187634,0.204411852,4.883217995
69,NT2.062618,SEMATR4,S.atromaculatus,22.5,3.11,55.16360184,3.940238417,1.26695769,14.76375675,0.476711552,8.265456133,1.26695769,0.153283457,8.265456135
70,NT2.062618,SEMATR5,S.atromaculatus,22.5,1.16,38.52694621,2.751911559,2.372337551,4.310634321,0.139187418,19.77126674,2.372337551,0.119989153,19.77126675
71,NT2.062618,SEMATR6,S.atromaculatus,22.5,1.81,33.88547057,2.420379172,1.337226062,4.367430567,0.141021329,17.16321343,1.337226062,0.077912337,17.16321334
72,NT2.062618,SEMATR7,S.atromaculatus,22.5,1.51,47.17064723,3.369315821,2.231334981,1.928312733,0.062263892,54.1134792,2.231334981,0.041234366,54.11347857
73,NT2.062618,SEMATR8,S.atromaculatus,22.5,1.5,25.24196982,1.802989216,1.201992811,1.38520297,0.044727251,40.3107539,1.201992811,0.029818167,40.31075455
74,NT2.062618,SEMATR9,S.atromaculatus,22.5,2.72,37.69444073,2.692447167,0.989870282,10.25266223,0.331051412,8.133018224,0.989870282,0.121710078,8.133018221
17,Edler,Crayfish1,O.nais,24,7.64,61.20831896,4.37200186,0.572251552,1.172132548,0.037847354,115.5167117,0.572251552,0.004953842,115.5167145
18,Edler,Crayfish2,O.nais,24,4.89,31.75878584,2.268473846,0.463900582,0.576000324,0.018598654,121.9697838,0.463900582,0.003803406,121.9697771
19,Edler,Crayfish3,O.nais,24,4.25,37.18295371,2.655912554,0.624920601,0.588279659,0.018995146,139.8205947,0.624920601,0.004469446,139.8205954
21,Edler,Crayfish5,O.nais,24,3.06,38.49845488,2.749876474,0.898652442,0.440059317,0.014209213,193.5277157,0.898652442,0.004643534,193.5276972
22,Edler,Crayfish6,O.nais,24,1.92,28.90799822,2.064847134,1.075441216,0.689320444,0.022257683,92.77008436,1.075441216,0.011592543,92.77008643
31,NTPool2,Crayfish1,O.nais,25.1,1.94,19.3694211,1.383523457,0.713156421,0.829641929,0.026788567,51.64604146,0.713156421,0.01380854,51.64604086
